Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52324.0248,NA,17.21680000000000,17.46390000000000,1.28290000000000,4.22460000000000,4.3974,NA,52307.6875,17.6202,16.3373,1.2829,16.8868,3.6751,3.5972,0.0779,-0.5743,52307.6875,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52340.2132,NA,16.18840000000000,16.46590000000000,1.86660000000000,4.53320000000000,4.6749,NA,52325.3077,16.7721,14.9055,1.8666,15.6816,3.7571,3.7046,0.0525,1.1543,52325.3077,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52356.5301,NA,16.31690000000000,15.67980000000000,0.84200000000000,3.92230000000000,4.0378,NA,52342.0798,15.2923,14.4503,0.8420,14.8436,3.5290,3.4643,0.0647,1.0923,52342.0798,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52373.1315,NA,16.60140000000000,16.63720000000000,0.83380000000000,3.94000000000000,4.0736,NA,52357.3721,16.5932,15.7594,0.8338,16.1712,3.5282,3.4724,0.0558,-1.3449,52357.3721,21.2686,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52389.8515,NA,16.72000000000000,16.65960000000000,0.79180000000000,3.89990000000000,4.0132,NA,52373.9653,16.6780,15.8862,0.7918,16.2745,3.5116,3.4557,0.0559,-0.0664,52373.9653,21.9472,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52406.3360,NA,16.48450000000000,16.57130000000000,0.79300000000000,3.98140000000000,4.1000,NA,52390.6433,16.4857,15.6927,0.7930,16.0757,3.5984,3.5345,0.0639,0.1067,52390.6433,22.5055,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52423.6445,NA,17.30850000000000,17.53540000000000,0.91070000000000,4.12520000000000,4.3269,NA,52407.1290,17.4262,16.5155,0.9107,16.9146,3.7261,3.6524,0.0737,-1.0497,52407.1290,24.0306,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52439.9085,NA,16.26400000000000,17.10130000000000,1.80080000000000,4.95260000000000,5.1642,NA,52424.5552,17.1541,15.3533,1.8008,16.1433,4.1626,4.0420,0.1206,0.3249,52424.5552,25.1223,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52456.3909,NA,16.48240000000000,15.55610000000000,0.88200000000000,4.06570000000000,4.2379,NA,52441.7093,15.5636,14.6816,0.8820,15.0898,3.6575,3.5922,0.0653,1.5980,52441.7093,24.6816,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52473.1197,NA,16.72880000000000,16.63830000000000,1.09550000000000,4.02400000000000,4.1474,NA,52457.2729,16.9423,15.8468,1.0955,16.3154,3.5554,3.4805,0.0749,-1.0747,52457.2729,9.1152,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52489.6448,NA,16.52510000000000,16.48830000000000,0.92730000000000,3.99490000000000,4.1106,NA,52474.2152,16.3569,15.4296,0.9273,15.8503,3.5742,3.4987,0.0755,0.4540,52474.2152,NA,NA
gamemd.exe,18720,0x43D4320,D3D9,0,0,1,Hardware: Independent Flip,52506.4774,NA,16.83260000000000,17.21360000000000,1.25930000000000,4.35050000000000,4.4916,NA,52490.5721,17.1646,15.9053,1.2593,16.4014,3.8544,3.7640,0.0904,-0.8567,52490.5721,10.5302,NA
